;virginia;#covid19;phase;health;virginians;public;continue;work;commonwealth;restrictions;may;northern;briefing;watch;stay;200;people;safe;thank;across;care;forward;businesses;working;tests;tune;help;safely;face;data;live;ppe;week;home;full;update;ease;remain;region;virginias;communities;safety;localities;starting;testing;plan;latest;lives;service;local;response;#forwardvirginia;virus;critical;crisis;move;science;together;@vdhgov;join;tomorrow;holding;state;still;friday;protect;available;key;distancing;reduce;delay;based;country;new;announced;order;able;proud;spread;wear;emergency;next;extend;guidelines;positive;commitment;reported;months;todays;different;justice;pandemic;important;cases;place;beaches;officers;nonessential;reopen;continues
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;4;2;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0
200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;0;0;10;0;0;0;0;8;2;0;0;4;0;0;0;0;0;4;6;0;0;2;6;2;0;0;0;0;0;0;0;6;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;2;4;0;0;2;0;0;0;2;0;0;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;2;4;0;0;0;0;2;4;0;2;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;2;0;2;2;0;0;0;0;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
forward;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;4;0;4;0;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;0;0;0;0;0;2;0;6;4;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;2;2;0;2;0;0;0;2;2;2;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;0;2;2;0;0;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;0;4;0;2;0;0;8;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;0;4;0;0;0;2;0;0;0;2;0
